review_id,score,duration,comment
ChZDSUhNMG9nS0VJQ0FnSUNuNGF1eE1BEAE,5,2 週前,"地點坐落雖較徧闢，卻有遠離塵囂之感。雖沒有夜市可逛，但飯店還是準備了夜宵給大家，讓大家可以走出房間，旅客們也會在飯店的公共空間和朋友、家人聊聊天交流情感，是其他飯店較少看見的情景。飯店同仁溫暖的微笑、旅客之間溫暖的互動，真的很喜歡。
對了千萬不要漏了早餐…應該是早午餐吧！今天只能起動放任日了，每一道菜都如此精心製作，如此好吃而不想錯過，今天大概吃了4天份的早餐了吧，cp值真的很高啊！至於吃了什麼，飯店官網有介紹喔！"
ChZDSUhNMG9nS0VJQ0FnSURudDVfb1JnEAE,1,4 天前,"先說不推 優點是服務好 早餐不錯
但缺點不少

第一是暗黑派派 搞得夜店風但事實上台式點心蠻普通的 有些甚至不太好吃

第二是頂樓的拍照空間 也蠻令人失望的 其實這麼好的空間好好利用 弄個健身房也好 要拿拍照打卡當特點只會讓人失望

總體而言對宜蘭館蠻失望的 住宿價格不算便宜 不是很滿意 建議還是去礁溪泡溫泉比較爽 不然乾脆出國好了"
ChdDSUhNMG9nS0VJQ0FnSURubFk3X3B3RRAB,5,1 週前,在官網上找到優惠方案，豪華家庭房含早餐，晚上還有宵夜趴可以吃吃小點，頂樓有些可愛的小設施可以玩、拍照；最棒的是早午餐可以吃到下午一點半，如果前一晚check in時間太晚，隔天還可以兩點再check out 😃真的很佛心！住宿體驗很舒服！有機會還會想再來👍
ChdDSUhNMG9nS0VJQ0FnSURIN2I3Q2hnRRAB,2,3 週前,"於9/15-9/16入住，一開始在官網上面訂房就有註記小孩年紀及要求要嬰兒床及嬰兒澡盆，當天入住的時候櫃檯表示今天人手不夠，嬰兒沐浴乳等備品會晚一點送進房間，我們也表示沒關係目前還不會用到，結果到了房間發現嬰兒床也還沒送來，致電櫃檯表示稍等會協助送進房間，也有取得我們的同意如果外出不在可以直接送進房間（當時入住時間約15:00初頭）。
中途我們出去雨山咖啡買了咖啡，回來還是沒有送來，小孩（9個月）在床上亂爬還不小心摔下床（還好沒有造成很嚴重的受傷），因為無法一直待在推車上只好一直抱著，根本無法好好休息……..不是應該check in的時候物品就要都準備好嗎～～～😩
後來到我們17:30出門之前嬰兒床都還沒送來，後來19:00回到飯店，發現嬰兒床跟嬰兒澡盆都堆在門口，其他間也有消毒鍋跟圍欄也都堆在門口，說好的送進房間呢？怎麼到最後還要我們自己搬了……
餐點環境都中規中矩，但因為這段小插曲，覺得居住體驗有點打折，希望可以改善。"
ChZDSUhNMG9nS0VJQ0FnSUNueTZXUFNBEAE,4,2 週前,房間的分機壞掉了，隔音也不是很好，樓下的遊覽車聲音很吵，找不到竹炭水，只有一般的飲水機，也沒有提供熱開水！ 住客很多，吃早餐最好晚一點去吃，以免沒有座位！ 其他的就還好，外觀也還不錯，附近也可以騎騎腳踏車或走走！
ChZDSUhNMG9nS0VJQ0FnSURIcHQ2SFBBEAE,5,1 個月前,"位置距離宜蘭火車站車程約8-10分鐘，算是方便。來這邊住要抱持會變胖的心理準備😂 早餐超級豐盛，四星級但是我覺得不輸其他五星級，中西餐都有、也有一些道地的台灣美食和甜點，會入住這邊很大原因是早餐到下午一點被欸‼️ 一開始因為自己看錯，但後來確認真的是這樣🤣 20:30-22:30還會有免費零食跟宵夜😱 叫餐ubereats 也很方便。

🛏️ 房間設施：入住家庭房四人房 ⚠️覺得比較不方便的是房間沒有衣櫃😵‍💫 雖然不知道每間飯店是不是必備，但沒有體重機，一開始覺得不方便，不過似乎能暫時逃避現實🤣 but，棉被非常柔軟蓬鬆又舒服❤️（有發現裡面是羽毛），缺點❗️枕頭😵‍💫 只有一顆而且偏硬又不蓬鬆，大概個人習慣吧，我自己是睡得不太舒服。

Checkout 方便，不用再櫃檯辦理，若沒叫其他東西，可以直接房卡丟箱子離開。客房服務24小時都很有效率，飯店人員服務親切友善，還是會再來玩👍🏻"
ChZDSUhNMG9nS0VJQ0FnSURuaXB1QVBnEAE,5,1 週前,房間大有陽台 有沙發跟靠窗小桌 待起來很舒適  適合開車兜風渡假的行程 地下室停車場寬敞好停 離市區有點遠 周遭走路範圍內幾乎沒有什麼店家 不過會來住這裡的應該本來就是渡假村概念 早餐可以吃到下午一點半 東西沒有蘇澳館豐盛不過還是不錯 很不錯的渡假飯店
ChdDSUhNMG9nS0VJQ0FnSUNIaVBPY3lBRRAB,4,1 個月前,"居住：房間空間不小，廁所跟浴室不是一般乾濕分離，而是廁所、浴室各一間。
感覺枕頭好像有點高？（還是我脖子太短？）
棉被舒服，但有點厚，怕熱的我有時會熱醒🫠
現在政府政策無法提供一次性用品，有缺日常用品時建議到櫃檯求援，相信你會得到滿意的幫助。
吸煙區：全館內部禁菸，但有設一個吸煙區！
簡單說在車道出入口附近有個管狀煙灰缸，別懷疑，就是哪裡🤗
服務：櫃檯、早午餐等服務人員都十分積極、熱情，服務給滿分。
餐點：個人覺得較偏甜，比較不適合我，但口味這東西見人見智，不予評論。
地點：個人覺得這是偏渡假飯店，提供早午餐、下午茶、甚至晚間的簡單點心，就想讓客人除了跑景點外可以整天膩在旅館耍廢，所以地點雖不算太偏遠，但離宜蘭、羅東的鬧區還是有點小距離，喜歡熱鬧還是清幽也得由各位看官自行決定囉！
不過飯店周遭有的路比較窄，建議開車要多留心注意來車哦！"
ChdDSUhNMG9nS0VJQ0FnSURucElxbnRRRRAB,4,1 週前,因為怕颱風家中停電而入住，首先是停車場非常寬敞明亮，平日的住宿價格合理，可以選擇入住和退房時間非常有彈性，早午餐可以吃到1:30很貼心！下次還會再入住。
ChZDSUhNMG9nS0VJQ0FnSUNubU92WmR3EAE,4,3 週前,"家庭2大+1小未滿五歲，家庭雙床含早餐
使用去年購買線上旅展住宿券2張再加價訂房，因為已無宿券可訂購房型，週六住宿貴一點可理解。
入住6樓-房間清潔ok，淋浴間、嬰兒澡盆清潔度可再加強，地板覺得滑滑、排水緩慢（洗臉台也是）、蓮蓬頭出水量小且熱度不夠，澡盆排水孔積垢未清…以高價位房價來說，很掉漆。唯一安慰是早餐菜色豐富，室內停車位方便好停！"
ChdDSUhNMG9nS0VJQ0FnSURueTlyX2x3RRAB,5,5 天前,"一家三口入住兩次還是覺得很喜歡，最愛是早餐的松露奶油搭配法棍 ❤️ （飽）

缺點就是稍微偏僻、吹風機風量超級小

不過訂到優惠方案時還是很值得

下次見"
ChZDSUhNMG9nS0VJQ0FnSURudTY2aExBEAE,2,5 天前,"飯店位子偏僻，地下停車場的車位也很少，晚點回來要停在附近的宮廟廣場
早餐遠遠不及台南煙波，餐廳也很小，用餐尖峰需要排隊
房間很陽春，USB孔無法充電，排水很慢
如果不是對煙波有特別偏愛，絕對有更好的選擇"
ChZDSUhNMG9nS0VJQ0FnSUNIcE9hV1pREAE,1,1 個月前,"負評：

1. 入房就發現洗手台上的飲料空罐，不理解這麼大一個瓶子如何在房務收拾時能遺漏。

2. 晚上在1樓餐廳有活動，供應小食、甜點，建議不用有太多期待，相比一些商務飯店的水準更差。

房內空間夠，兩張小沙發椅、一張小桌子方便外帶食物回房間食用，硬體設備一般、電視畫質普通MOD頻道不多，可使用WiFi 電視投影。

地點較偏僻，附近沒有什麼店家。

早餐餐廳空間小、種類少、口味差、補餐速度非常慢，不符合煙波一慣讓人稱讚的早餐水準，跟6月住花蓮煙波相比差距很大。"
ChZDSUhNMG9nS0VJQ0FnSUQ3M1llSEh3EAE,4,1 個月前,此次住宿住了兩天802房，入住很快速，但電梯等很久，馬桶水壓偏小要多沖幾次，發現飯店插座孔有點大跟自己的座充無法吻合，5歲身高112公分小朋友的早餐食量比較小，竟然收了330的費用，有點不太近乎人情，畢竟小朋友的食量真的吃不多，希望可以只收清潔費，早餐很豐盛，但晚餐沒有CP值，價格偏貴，飲料選擇太少了，飯店服務人員都很親切也很友善，停車空間也很夠。
ChdDSUhNMG9nS0VJQ0FnSURuNjR2cV9RRRAB,5,5 天前,房間大好睡，隔音很好！宵夜螢光派對多品項很棒，早餐豐富多樣好吃，家庭旅行整體很開心，下次會再選擇入住
ChZDSUhNMG9nS0VJQ0FnSUNucmJ1Y1VREAE,1,2 週前,"1.官網訂尊榮一大床結果結果開門是一個普通雙人床
2.假日一個晚上快六千塊的價格，品質卻令人堪憂
（1）壁紙不服貼
（2）到處發霉
（3）電線亂收
（4）到處都是灰塵
（5）抽屜不明原因都打不開
3.跟其他縣市的煙波差好幾個級別
4.這個品質跟青年旅館沒有差別
5.建議不要踩雷選擇其他更好的飯店
6.電視都什麼年代還沒有其他串流平台的選擇
7.完全沒有這個價格該有的平等對待"
ChZDSUhNMG9nS0VJQ0FnSUQ3enBEeUN3EAE,1,1 個月前,"第一次遇到飯店辦理入住有分訂房管道而有不同的待遇（也可能是我見識少）
一進到大廳服務員就詢問哪裡訂房的？由於是家人協助代訂的，所以一時回答不出來，告知訂房大名，結果服務員堅持需要知道哪裡訂房，所以馬上電話聯絡家人，知道是agoda後，服務員指引到一旁的機器請我們輸入資訊，同時問我們五位訂一間房嗎？我回答有訂三間，結果服務員又請我們折返至櫃檯辦理入住，說是因為有三間房所以需要人工查詢⋯讓這次一開始的checkin體驗就不太好了，不太懂當時大廳沒半組客人，然後櫃檯站著三位服務員卻無法提供非自助式較有人情味的辦理方式，不知道是不是貴公司打算之後都不雇用櫃檯接待員改成全自助機台辦理入住手續呢？"
ChdDSUhNMG9nS0VJQ0FnSUQ3bzZfZ3ZnRRAB,3,1 個月前,"遊客太多，停車場不夠，還需要停到走路有點距離到地方，這點覺得不太好。早餐沒有分流，導致人多到擠在一起夾菜，整個餐廳擁擠。
床還行，訂一特大床，床卻是一般的尺寸，可能我會錯飯店官網照片及文字的意思了吧。
這次住的品質及感受沒有很好。但服務人員態度是很棒的。"
ChZDSUhNMG9nS0VJQ0FnSUQ3eGZ1ZUJnEAE,5,1 個月前,這次是透過朋友買票券使用住了2晚，第一晚應該是4人房，2張雙床房空間很大，不用搶一人一床但沒浴缸泡，因為第二晚滿房所以住加大雙人房，明顯空間變很小但有浴缸可以泡澡。早午餐其實非常豐富可以睡到10點多起床在吃非常喜歡這樣時間，晚上還有甜品可以吃，氛圍也是很不錯，但就是離市區有一段距離周遭很安靜，還特地去附近逛逛。都是別野房子欸🤭新成屋很多。不使用票券費用不便宜還好當初買了2張。
ChZDSUhNMG9nS0VJQ0FnSUQ3enMyUFZREAE,2,1 個月前,"8/24晚上在煙波的餐廳裡吃火鍋，蔬菜部分種類少，玉米也不是很新鮮，肉片的部分，只能說中規中矩。
主食的部分，等了半個小時左右
1.有類似印度脆球，裡面的水果早已乾掉，連一點汁水都沒有
2.煎蝦子的部分，已經不新鮮，口感乾柴，且有些腥味跑出
3.至於類似壽司的飯上面鋪了三個半塊干貝和一些魚卵，干貝過熟無鮮味，糙米已被風乾，要吞下去要有一定的吞嚥能力
4.裡面尚可的就是煎鮭魚，用的是腹部與肉的交界處，有一定的油脂，但老實說，要做的不好吃也困難，搭配醬汁還不錯。
綜上所述，主食估計已經煮好大概二十分鐘有餘才端上桌，而非現烹調的，吃到這樣的食物，對不起煙波這個名稱，屬實非常失望。

義式冰淇淋是這家餐廳裡最好吃的東西，這兩顆星是給辛苦的服務生和冰淇淋的。"
ChZDSUhNMG9nS0VJQ0FnSURuNVpfeUNBEAE,5,1 週前,房間乾淨舒適，早餐非常豐盛，晚上也很寧靜，安全性高住宿很放心，也有室內運動器材和泳池可使用，附近很多景點可以去逛逛走走，出差、度假、親子旅遊住宿的好選擇.
ChZDSUhNMG9nS0VJQ0FnSURiMXZTZWZ3EAE,3,2 個月前,"1.8/3 下午至櫃台辦理 Check in，被告知 Agoda 訂房需要到旁邊的自助機報到，但自助機一台維修，根本消化不完客人，大家擠在一塊體驗極差，接著無論輸入 Agoda 訂房姓名或訂單編號都頻頻報到失敗，看起來系統串接根本就不順暢，機台操作的 UI 也很糟糕，使用者體驗極差，結果旁邊的服務人員還是請求櫃檯的幫助，不知道在忙什麼，浪費大家時間。
2.早餐很豐盛且可以中午在吃，當早午餐吃還不錯
3.晚上有消夜可以吃，也有表演可以看，不錯
4.地點整體而言附近沒有太多餐廳，最後是叫外送，並且飯店還沒有可以放外送的地方，只能親自下樓領。

整體而言覺得中規中矩，有優點也有缺點，有待加強。"
ChZDSUhNMG9nS0VJQ0FnSURyeEtHMElnEAE,4,3 個月前,"這次帶男朋友到煙波慶生🎉
是在官網上訂購的方案，晚上六點check in 下午兩點退房，壽星超級滿意！很適合我們這種從台北下去比較晚到的人

住過其它家煙波，真的很喜歡煙波集團，因為服務都很好，住房也都很滿意。

這次有備注慶生，入住的時候也有準備生日卡片，讓壽星很開心🥳

活動：
這次入住晚上有活動：暗黑派派，大人小孩都可以去，晚上8:30-10:30有準備很多樣的小零食供房客使用，還有小遊戲，有感受到飯店的用心，小孩們看起來都很開心。

頂樓也有粉紅泡泡裝置藝術

⚠️但唯一覺得可以進步的是食物的部分：
早餐真的超級多樣化的，本來非常的期待，但吃完後有一點失望，因為沒有一個是特別好吃的。
麵食的部分覺得涼皮跟哨子麵很好吃，但很可惜的是他們都會先把麵直接裝好，可能方便供大家直接拿，但這樣導致拿到的時候就已經涼掉了，而且哨子麵吃的時候也爛了，感覺是煮爛了～

食物的部分真的可以再加強一下，除了這個其他住宿都很滿意！也很推薦～

Ps: 陽台蠻大的，但可惜沒有桌椅，不然就可以坐在外面看窗外的風景"
ChdDSUhNMG9nS0VJQ0FnSUQ3eXFhVV93RRAB,4,1 個月前,"1.飯店位置屬於外圍，離市區較遠，優點是周邊寧靜，適合自行開車前往的人
2.大廳空間印入眼簾是開放調高～視覺上很明亮乾淨，服務人員的態度也親切；房間的走廊空間也是明亮清爽，不會有昏暗感
3.透過A訂房網的訂單可自行在自助機器辦理入住，製作房卡後即可自行入房
4.本次預定雙床家庭房，空間寬敞採光明亮，廁所與淋浴空間各一間，洗手盆與迷你吧設計成一個長檯面，房間還有一組雙人沙發/一張邊桌，休憩空間很足夠，但外帶餐點要食用時就顯得不便
5.房間沒有提供消耗型備品，需自行準備盥洗備品喔！其他沐浴洗髮乳/吹風機/毛巾仍有供應
6.洗臉盆旁有固定的化妝鏡，但沒有給化妝椅及桌面空間，必須使用小邊桌來化妝，這部分較不便利
7.房間的窗簾屬於遮光簾，但設計不佳，雙片窗簾的密合度不夠，早上會被漏光的強烈陽光干擾，希望飯店這部分可以改善
8.早餐種類豐富，很多創意料理與在地結合原住民料理，也提供健康的早餐食材，視覺上選擇很豐富，但口味上一般不會令人覺得經驗。
9.飯店位處郊外，有地下停車場也有戶外的停車空間，進出方便"
ChdDSUhNMG9nS0VJQ0FnSURubzV6LTF3RRAB,5,6 天前,"房間寬敞，視野佳，可惜地點較偏，期盼下次入住時有三溫暖可享用。
雖無溫泉，但天候不佳或旅途勞頓時，三溫暖不無小補。"
ChZDSUhNMG9nS0VJQ0FnSURybEo2RU53EAE,4,3 個月前,"2024.07.11入住煙波飯店宜蘭館，這次約了妹妹們(2大1小)來宜蘭玩所以訂了一間兩人房跟一間四人房(訂房時就有告知訂房人員，希望兩間房間安排在隔壁間)，當時電訂時的服務人員說因為房型不同，但會盡量幫我們安排在同一層樓，7/11(四)下午辦理入住時，櫃台小姐幫我把兩人房升級成四人房，整個驚喜到(很開心地被升級成四人房)。
房間整體上很乾淨舒適，飯店周遭環境滿清幽安靜的，滿適合放鬆度假的。
再來最特別的就是就是宜蘭館晚上20:30-22:30飯店有「暗黑派派」，可帶小朋友體驗夜店風的空間，簡單來說就是兒童版的夜店啦!  還有炸物. 小餅乾、甜點(豆花.愛玉.綠豆.珍珠) 吃到飽，CP值很高。
隔天的早餐也很豐盛，最讚最特別的地方就是用餐入場的時間是06:30-13:30，可以讓你睡飽飽再起床用餐，等於是吃早午餐的概念，早午餐一起吃可以睡晚一點又省下一餐的費用。"
ChdDSUhNMG9nS0VJQ0FnSUQ3aWZhMnZnRRAB,2,1 個月前,"大約下午2:30辦理入住，房間在八樓，可以理解提早入住房間還沒整理完，因此經過放進途中有許多房務人員以及在走道的推車

但無法理解的是等到時間到了下午4:30左右要出門吃晚餐時，推開房門依舊是一樣的景象清潔推車在房門口，且一大袋垃圾味道很噁心

為什麼接近晚餐時間依舊還在打掃，而且一開門就聞到垃圾車的噁心味道，完全無法理解四星級飯店的品質"
ChdDSUhNMG9nS0VJQ0FnSURIM3FiZDBnRRAB,2,4 週前,"住宿過三四次，覺得早午餐很好吃，看到網站有賣餐卷，隨即致電詢問，打了好幾通就是沒人接，接通之後又轉來轉去，一通電話10分鐘餐廳才有人接。
問了三四個人都不清楚餐卷怎麼賣，一下只能現場買，一下又說能郵寄，最後誰都不知道怎麼用，不了了之。
前後花了半小時打電話詢問，沒有得到任何結果。

過幾天不死心再打電話問，也是一樣狀況，結論是餐卷只適合本地人人買，外縣市要特別跑一趟現場買，但要下次才能用。那麼怕人家買，幹嘛賣。"
ChZDSUhNMG9nS0VJQ0FnSUQ3LU1Pa2JREAE,3,1 個月前,"如果對新竹館或台南館印象很好的話，宜蘭館可能會大失所望⋯什麼設施都沒有，唯一能稱讚的只有房間算整潔乾淨⋯空間也還ok⋯但是小孩真的無聊到爆⋯不算是能來享受飯店設施的選擇之一，附近都是公家機關，沒有任何店家，應該比較適合商務客，喜歡安靜的旅客，親子旅行建議避開⋯
叫外送也不給寄放櫃檯要迅速下去拿⋯
電視是mod沒有網飛和YouTube.."
ChdDSUhNMG9nS0VJQ0FnSUNYME9pVGxBRRAB,5,3 天前,"如果有浴缸就更好了
附近商店不多
建議採買好再入住
本次選擇18:00check in
隔日 14:00check out 的方案真是太棒了
很符合我們小度假悠哉的腳步"
ChZDSUhNMG9nS0VJQ0FnSUM3bU1PZVZREAE,3,2 個月前,"8/9～8/11入住.
8/9
晚上20:00到飯店辦理入住，天熱想沖涼再吃晚餐，卻發現浴缸有體毛，只好重新刷洗一番，並噴上酒精在刷洗一番..
20:40至飯店一樓參加飯店餐點活動，貌似童趣的點心，不知道是個人口味關係，「喀哩喀哩」童趣餅乾發軟，不像正常餅乾..其餘餐點未多食用，便不久留出飯店要去便利商店，發現頗遠..可能需要跟飯店借腳踏車，無奈腳踏車數量很少，僅剩一台😅
8/10
早餐用餐時段8:00～13:30，非常不錯且彈性的時間。但滾籠烤麵包機掉下來的位置有點偏位導致夾取不順或掉到檯面上。
中午12:30房務員親切主動詢問是否整理或更換房內用品，並提供需求物品，這點很值得稱許。
8/11
退房，大家都擠在同一時間退房等電梯..越低樓層等越久..這點盼能有對策，緩解。"
ChZDSUhNMG9nS0VJQ0FnSUM3MzluRkFREAE,2,1 個月前,"煙波系列我住過新竹兩間以及煙波花時間，入住體驗都非常好，沒有想到宜蘭館是這樣的。兩顆星給停車場和早餐。5000一晚覺得有夠冤。
1、智能自助報到應給旅客選擇方便使用，而不是規定用第三方平台訂房的旅客使用。有看到很多不擅3c的長輩卡在機台前很久，也很狼狽，也沒有人立刻協助，還沒入住心情就差了。
2、承上，辦理入住櫃檯根本就沒有人，是否應彈性使用。兩位櫃檯服務人員就是冷漠的表示「我們這邊是官網訂房，xxx的要用那邊機台報到喔」，用第三方平台就是次等房客的感覺？
3、智能機台報到後還要到旁邊的櫃檯排隊確認方案，豈不是多此一舉？覺得顧智能機台的人員非常忙碌，和入住櫃檯一比勞務明顯分配不均。
4、櫃檯服務人員對幼童非常不友善，故意用嘲諷家長的語氣對著幼童說話。
5、馬桶水壓不太夠。
6、餐廳位置很擠，不知為何早餐沒有提供兒童椅，看看隔壁幾桌也都是如此。"
